,Nome,Avaliação,Endereço,Website,Rede Social
2,Gol Materiais Para Construção,(12),"Rod. Mabio Gonçalves Palhano, 955 - Gleba Fazenda Palhano, Londrina - PR, 86055-585",Reivindicar esta empresa,
4,Depósito de Materiais Casa & Construção,(6),"R. Pedro Botelho de Rezende, 1160 - Jardim Burle Marx, Londrina - PR, 86047-780",(43) 3341-8117,
5,Todimo,(274),"Av. Saul Elkind, 2900 - Jardim Athenas, Londrina - PR, 86082-001",(43) 3372-5000,
6,Papaes Comércio Materiais de Construção,(1),"Av. Duque de Caxias, 1980 - Centro, Londrina - PR, 86010-190",,
7,DEPÓSITO BRASIL SUL,(4),"R. Belém, 61 - Casoni, Londrina - PR, 86026-000",(43) 3323-5942,
8,Depósito Aeroporto Materiais para Construção,(35),"Av. do Café, 65 - Conj. Cafe, Londrina - PR, 86038-000",,
9,Leroy Merlin Londrina,(408),leroymerlin.com.br,,
10,Depósito LC,(184),"R. Tietê, 1750 - Jardim Tabapua, Londrina - PR, 86025-230",(43) 3334-1918,
11,Felix Acabamentos e Material Para Construção,(29),"R. Albert Einstein, 1046 - Vl Industrial, Londrina - PR, 86063-370",,
12,Todimo,(725),"Av. Tiradentes, 1181 - Jardim Shangri-Lá A, Londrina - PR, 86070-000",(43) 3375-5501,
13,Depósito VERA CRUZ - Materiais de Construção,(4),"Av. Luigi Amorese, 5555 - Cilo III, Londrina - PR, 86071-020",,
14,Telhanorte Tiradentes,(847),"Av. Tiradentes, 2760 - Cilo III, Londrina - PR, 86071-000",(43) 3878-5109,
15,Depósito Eldorado,(43),"Av. Duque de Caxias, 1046 - Vila Brasil, Londrina - PR, 86020-330",,
16,Depósito São Marcos,(316),"R. Fortaleza, 271 - Agari, Londrina - PR, 86020-240",(43) 3376-1600,
17,Cunha e Castro - Materiais de Construção,(64),"Av. Salgado Filho, 174 - Califórnia, Londrina - PR, 86040-000",,
18,Londrimassa Concreto e Materiais para Construção,(6),"Rod. Celso Garcia Cid, 150 - Jardim Sabara, Londrina - PR, 86066-210",,
19,Duk Mellos Materiais Construção,(1),"Comtipo João , S , Av 2633, Londrina - PR, 86036-030",,
20,Aqui K J R Pisos e Materiais de Construção,,"Av. Tiradentes, 771 - Jardim Shangri-Lá A, Londrina - PR, 86070-545",,
21,Deposito Sanderson 1,(5),"R. Mitomu Simamura, 406 - Parque das Industrias, Londrina - PR, 86043-030",,
