,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
0,,,"A, Av. Tiradentes, 1130 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R6 Shangri-lá, Londrina - PR",espacosmart.com.br,(43) 3343-5050,Gerenciar esta ficha,(26),Espaço Smart,"4,2",,
1,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
2,,,"R. Fortaleza, 271 - Agari, Londrina - PR, 86020-240","MRXJ+89 Agari, Londrina - PR",depositosaomarcos.com.br,(43) 3376-1600,Reivindicar esta empresa,(317),Depósito São Marcos,"4,4",,
3,,,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
4,,,"Rod. Mabio Gonçalves Palhano, 955 - Gleba Fazenda Palhano, Londrina - PR, 86055-585","MR36+VC Gleba Fazenda Palhano, Londrina - PR",(43) 3028-2222,Reivindicar esta empresa,Adicionar horário,(12),Gol Materiais Para Construção,"4,7",Adicionar website,
5,,,"R. Pedro Botelho de Rezende, 1160 - Jardim Burle Marx, Londrina - PR, 86047-780","JRXP+69 Jardim Burle Marx, Londrina - PR",aiyellow.com,(43) 3341-8117,Adicionar horário,(6),Depósito de Materiais Casa & Construção,"4,8",,
6,,,"Av. Theodoro Victorelli, 650L - Jardim Helena, Londrina - PR, 86027-750","MVP4+RH Fraternidade, Londrina - PR",leroymerlin.com.br,(43) 99153-3076,,(410),Leroy Merlin Londrina,"4,0",,
7,,,"Av. Saul Elkind, 2900 - Jardim Athenas, Londrina - PR, 86082-001","PRRP+HJ Jardim Athenas, Londrina - PR",todimo.com.br,(43) 3372-5000,Gerenciar esta ficha,(274),Todimo,"4,2",,
8,,,"Av. Duque de Caxias, 1980 - Centro, Londrina - PR, 86010-190","MRQV+XV Centro, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,Adicionar horário,(1),Papaes Comércio Materiais de Construção,"5,0",Adicionar website,
9,,,"R. Albert Einstein, 1046 - Vl Industrial, Londrina - PR, 86063-370","MRQ3+FJ Parque Jamaica, Londrina - PR",(43) 3327-0037,Reivindicar esta empresa,Adicionar website,(29),Felix Acabamentos e Material Para Construção,"4,6",,
