,Nome,Avaliação,Endereço,Website,Rede Social
0,Tijotelhas,(12),"R. XV de Fevereiro, 249 - Centro, Cornélio Procópio - PR, 86300-000",(43) 3524-1055,
1,BARROS CASA - O SHOPPING DA CONSTRUÇÃO,(66),"Av. Getúlio Vargas, 265, Cornélio Procópio - PR, 86300-000",,
2,M Silva Material de Construção,(21),"R. Benjamin Constant, 303 - Centro, Cornélio Procópio - PR, 86300-000",,
3,Fortcasa Materiais Para Construção,(7),"Av. Getúlio Vargas, 91, Cornélio Procópio - PR, 86300-000",,
4,"Comercial Andrade Materiais para Construção, Acabamentos e Lazer",(10),"R. Antônio Vilas Bôas, 700 - centro, Cornélio Procópio - PR, 86300-000",(43) 3523-7538,
5,J.H. SUPERMERCADO DA CONSTUÇÃO Mendonça e Tiburcio LTDA.,(219),"Cornélio Procópio - PR, 86300-000",(43) 3524-2288,
6,Depósito Pérola,(5),"R. Goiás, 42, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
7,J.H. SUPERMERCADO DA CONSTUÇÃO,,"Av. Getúlio Vargas, 61 - Centro, Cornélio Procópio - PR, 86300-000",(43) 3524-2288,
8,Madeireira Morumbi,(57),"Av. Dom Pedro, 1469, Cornélio Procópio - PR, 86300-000",(43) 3523-5474,
9,Aroeira Madeiras,(45),"R. Francisco Morato, 670, Cornélio Procópio - PR, 86300-000",,
10,MA Marcenaria Aguiar,,"R. Francisco Morato, 199-301, Cornélio Procópio - PR, 86300-000",,
11,Constrular Acabamentos,(6),"Av. Barão do Rio Branco, 515 - J. independência, Cornélio Procópio - PR, 86300-000",(43) 99602-9306,
12,Casa dos Parafusos,(14),"Av. XV de Novembro, 1178, Cornélio Procópio - PR, 86300-000",,
13,Depósito São Luiz,(56),depositosaoluiz.negocio.site,,
14,Indústria e Comércio de Madeiras Ferracin,(1),"R. Osvaldo Seixas de Queirós, 166, Cornélio Procópio - PR, 86300-000",,
15,Eletrobarros,(66),"Av. Getúlio Vargas, 22, Cornélio Procópio - PR, 86300-000",(43) 3520-1105,
16,Madeireira Sucupira,,"R. Osvaldo Seixas de Queirós, 272, Cornélio Procópio - PR, 86300-000",,
17,Negripar Parafusos,(1),"Av. Getúlio Vargas, 321 - centro, Cornélio Procópio - PR, 86300-000",,
