,Nome,Avaliação,Endereço,Website,Rede Social
0,Tijotelhas,(12),"R. XV de Fevereiro, 249 - Centro, Cornélio Procópio - PR, 86300-000",(43) 3524-1055,
1,BARROS CASA - O SHOPPING DA CONSTRUÇÃO,(66),"Av. Getúlio Vargas, 265, Cornélio Procópio - PR, 86300-000",,
2,M Silva Material de Construção,(21),"R. Benjamin Constant, 303 - Centro, Cornélio Procópio - PR, 86300-000",,
3,Fortcasa Materiais Para Construção,(7),"Av. Getúlio Vargas, 91, Cornélio Procópio - PR, 86300-000",,
4,"Comercial Andrade Materiais para Construção, Acabamentos e Lazer",(10),"R. Antônio Vilas Bôas, 700 - centro, Cornélio Procópio - PR, 86300-000",(43) 3523-7538,
45,Nova Predileta,,"Av. Mal. Deodoro, Cornélio Procópio - PR, 86300-000",,
46,Cenario Das Cores,(1),"R. Emília Gomes Henrique, 107, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
47,Minasper,(9),"R. João Mazini, Cornélio Procópio - PR, 86300-000",,
48,Serralheria Bom Jesus,,"Av. Bento Ferraz de Campos, 514, Cornélio Procópio - PR, 86300-000",,
49,Color Tintas,,"Av. Minas Gerais, 355, Cornélio Procópio - PR, 86300-000",(43) 3523-4395,
50,EletroPares Comercio de Materiais Eletricos Ltda.,(1),"Av. Mal. Deodoro, 37 - Centro, Cornélio Procópio - PR, 86300-000",,
51,Serralheria e Metalúrgica Ramos,(3),"Rod PR 160, 816, Cornélio Procópio - PR, 86300-000",(43) 3524-3877,
52,Parafix Parafusos,,"R. Rocha Pombo, 423, Cornélio Procópio - PR, 86300-000",,
53,Rm Serralheria,,"R. José Arrebola, Cornélio Procópio - PR, 86300-000",,
54,Do Valle Tintas,(2),"R. Francisco Morato, 742, Cornélio Procópio - PR, 86300-000",(43) 99805-1751,
56,C & A Tintas,(38),"R. Francisco Morato, 560, Cornélio Procópio - PR, 86300-000",,
57,ACM Acessórios para Móveis,(14),"Av. Mal. Deodoro, 566 - Centro, Cornélio Procópio - PR, 86300-000",,
58,Tapeçaria Souza,(8),"R. Moisés Dias Martins, 132, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
59,AC Tintas do Pardal,(13),"Av. Mal. Deodoro, 720, Cornélio Procópio - PR, 86300-000",,
60,Serralheria Nossa Senhora Aparecida,(2),"R. Colombo, 623, Cornélio Procópio - PR, 86300-000",,
61,Ultilar Presentes,(2),"Av. Barão do Rio Branco, 716 - Vila Independencia, Cornélio Procópio - PR, 86300-000",,
62,WR Estruturas Metalicas Ltda,,"Av. Bento Ferraz de Campos, 526, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
63,Pena&Silva Serralharia,,"R. Mateus Reghin, 140, Cornélio Procópio - PR, 86300-000",,
64,Eletro Luz,,"Av. Getúlio Vargas, 101 - centro, Cornélio Procópio - PR, 86300-000",(43) 3524-2427,
65,C & A Tintas - Loja 2,(1),"Av. Francisco Lacerda Jr, 1632 - Centro, Cornélio Procópio - PR, 86300-000",(43) 99874-1017,
66,Serralheria Coprofer,(3),"Rua: Para nº80 - centro, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
67,Serralheria Procopense,(24),"R. Francisco Morato, 555 - Centro, Cornélio Procópio - PR, 86300-000",(43) 99109-8520,
68,TV Assistência Eduardo,,"R. XV de Fevereiro, 133, Cornélio Procópio - PR, 86300-000",,
69,Eletrotrafo,(52),"R. Dr. Francisco Lacerda, 1551, Cornélio Procópio - PR, 86300-000",(43) 3520-5000,
70,Revesimentos e acabamentos,,negocio.site,,
71,Tozetti Marcenaria,(1),"PR-160, 63, Cornélio Procópio - PR, 86300-000",,
72,Casa dos Parafusos,(12),"Francisco Lacerda Junior, Nº1472 - Centro, Cornélio Procópio - PR, 86300-000",Reivindicar esta empresa,
73,AcquaPisos Loja de Piscinas,(14),"R. Francisco Morato, 225 - Centro, Cornélio Procópio - PR, 86300-000",(43) 3524-5546,
74,Jh,,"Av. Getúlio Vargas, 59, Cornélio Procópio - PR, 86300-000",(43) 3524-2288,
