1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"377 Rodovia Celso Garcia Cid, AE / 01 - Gleba Fazenda Palhano, Londrina - PR, 86050-901",,"MR56+2X Gleba Fazenda Palhano, Londrina - PR",telhanorte.com.br,(990),Telhanorte Catuaí,"4,1",(43) 3878-5200,Gerenciar esta ficha
,"Av. Saul Elkind, 3095 - Jardim das Palmeiras, Londrina - PR, 86082-000","PRQM+PW Jardim das Palmeiras, Londrina - PR",(43) 3348-2424,Adicionar website,(91),Depósito Betel - Materiais de Construção e Madeireira,"4,4",,
,"R. Bahia, 274 - Centro, Londrina - PR, 86026-020","MRVQ+WF Centro, Londrina - PR",diviplus.com.br,(43) 3025-5500,(90),Diviplus Acabamentos,"4,5",,
,"Av. Arthur Thomas, 976 - Jardim Novo Sabara, Londrina - PR, 86063-460","MRW2+3H Jardim Novo Sabara, Londrina - PR",(43) 3338-0415,Adicionar website,(89),DEPÓSITO BANDEIRANTES,"4,6",,
,"Jd - Av. Guilherme de Almeida, 3089 - Santa Joana, Londrina - PR, 86042-001","JVC9+87 Santa Joana - Quilometro Nove, Londrina - PR",facebook.com,(43) 3376-8200,(89),Depósito Sanderson II,"4,5",Reivindicar esta empresa,
,"Av: Lucilio de Held, 1.175 Jd - Coliseu, Londrina - PR, 86076-110","PR87+R4 Coliseu, Londrina - PR",facebook.com,(43) 3348-5507,(88),Depósito Santiago,"4,1",,
,"Av. Tiradentes, 2760 - Cilo III, Londrina - PR, 86071-000","PQ3X+82 Cilo III, Londrina - PR",telhanorte.com.br,(43) 3878-5109,(847),Telhanorte Tiradentes,"4,1",Gerenciar esta ficha,
,"Av. José Del Ciel Filho, 662 - Jardim Imagawa, Londrina - PR, 86080-780","PRF9+CW Jardim Imagawa, Londrina - PR",(43) 3338-7118,Adicionar website,(82),Depósito SURIAN,"4,6",,
,"Av. Tiradentes, 929 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+HX Jardim Shangri-Lá A, Londrina - PR",(43) 3378-0800,Reivindicar esta empresa,(8),Globo Pisos,"3,9",Adicionar horário,Adicionar website
,"Av. Tiradentes, 1120 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R7 Shangri-lá, Londrina - PR",(43) 3378-0808,Reivindicar esta empresa,(8),JML Acabamentos,"4,9",Adicionar website,
,"R. Arcindo Sardo, 1059 - Jardim das Americas, Londrina - PR, 86076-140","PR78+P2 Jardim das Americas, Londrina - PR",facebook.com,(43) 3327-6980,(78),Magrão Mat. para Construção,"4,6",,
,"Av. Gabriel Freceiro de Miranda, 1063, Cambé - PR, 86185-000","PQ57+36 Cambé, PR",(43) 3154-9728,Adicionar website,(78),Deposito Menezes,"4,5",,
,"Av. Saul Elkind, 5277 - Jardim Paraty, Londrina - PR, 86082-000","PRQ7+G9 Jardim Paraty, Londrina - PR",(43) 3328-0644,Adicionar website,(76),DEPOSITO AMIGAO,"4,6",,
,"Av. Tiradentes, 1181 - Jardim Shangri-Lá A, Londrina - PR, 86070-000","MRX8+J3 Jardim Shangri-Lá A, Londrina - PR",todimo.com.br,(43) 3375-5501,(725),Todimo,"4,4",Gerenciar esta ficha,
,"R. São Vicente, 1603 - Jardim Palmares, Londrina - PR, 86025-040","PR4Q+PQ Jardim Palmares, Londrina - PR",(43) 3329-0557,Reivindicar esta empresa,(7),COFERLON-Comercial de Ferragens Londrina,"4,4",Adicionar website,
,"R. Dep. Nilson Ribas, 40 - Jd Bancários, Londrina - PR, 86062-090","MRX9+8P Campo Belo, Londrina - PR",acabamentosalternativa.com.br,(43) 3347-7285,(7),Alternativa Acabamentos Londrina,"3,9",,
,"Av. Europa, 100 - Parque Res. Joao Piza, Londrina - PR, 86041-220","MV24+74 Parque Res. Joao Piza, Londrina - PR",(43) 3341-2010,Reivindicar esta empresa,(7),Depósito Igapó,"4,4",Adicionar horário,Adicionar website
,"Av Esperança, 2730 - Jardim Bela Suiça, Cambé - PR, 86186-260","MQW2+XJ Jardim Bela Itália, Cambé - PR",depositobrasilsul.com.br,(43) 3254-1740,(7),Depósito Brasil Sul,"4,9",Gerenciar esta ficha,
,"R. Pôrto Alegre, 653 - Jardim Agari, Londrina - PR, 86020-160","MRWJ+HP Jardim Agari, Londrina - PR",(43) 3028-3434,Adicionar website,(66),Ferramentas Londrina,"4,7",,
,"Av. Salgado Filho, 174 - Califórnia, Londrina - PR, 86040-000","MVC4+8H Califórnia, Londrina - PR",(43) 3337-0202,Reivindicar esta empresa,(64),Cunha e Castro - Materiais de Construção,"4,5",Adicionar website,
,"Av. Jamil Scaff, 1270 - Conj. Alexandre Urbanas, Londrina - PR, 86037-000","MVJQ+73 Conj. Alexandre Urbanas, Londrina - PR",(43) 3336-9793,Reivindicar esta empresa,(63),Depósito Constril Material para Construção,"4,5",Adicionar website,
,"R. Pedro Botelho de Rezende, 1160 - Jardim Burle Marx, Londrina - PR, 86047-780","JRXP+69 Jardim Burle Marx, Londrina - PR",aiyellow.com,(43) 3341-8117,(6),Depósito de Materiais Casa & Construção,"4,8",Adicionar horário,
,"Rod. Celso Garcia Cid, 150 - Jardim Sabara, Londrina - PR, 86066-210","MQPM+MM Jardim Sabara, Londrina - PR",(43) 3348-0909,Reivindicar esta empresa,(6),Londrimassa Concreto e Materiais para Construção,"4,3",Adicionar website,
,"Av. Bandeirantes, 1021 - Vila Ipiranga, Londrina - PR, 86010-020","MRFV+79 Vila Ipiranga, Londrina - PR",(43) 3025-5955,Adicionar website,(6),Artrofix Comércio de Materiais Cirúrgicos,"4,7",,
,"Av. Jamil Scaff, 2071 - Jardim Santa Alice, Londrina - PR, 86036-692","MVPJ+VJ Jardim Santa Alice, Londrina - PR",depositoromani.com.br,(43) 3321-9590,(6),Romani - Construção e Acabamentos,5,Gerenciar esta ficha,
,"Av. das Maritacas, 1715 - Indusville, Londrina - PR, 86031-070","PV7G+9W Indusville, Londrina - PR",(43) 3325-3006,Reivindicar esta empresa,(58),Depósito Casa Nova,"4,6",Adicionar website,
,"Av. Jamil Scaff, 1765 - Jardim da Luz, Londrina - PR, 86037-850","MVMM+CW Jardim da Luz, Londrina - PR",(43) 3339-3339,Adicionar website,(54),Depósito Eliseu Materiais p/ Construção,"4,3",,
,"Av. Saul Elkind, 5613 - Jardim Everest, Londrina - PR","PRQ6+H2 Jardim Everest, Londrina - PR",(43) 3338-9636,Reivindicar esta empresa,(54),Depósito Compre Bem Materiais para Construção,"4,6",Adicionar website,
,"Av. Saul Elkind, 4005 - Estados, Londrina - PR, 86082-000","PRQG+GC Estados, Londrina - PR",(43) 3327-9000,Adicionar website,(54),Depósito Baratão,"4,6",,
,"R. Belo Horizonte, 477 - Centro, Londrina - PR, 86020-060","MRRM+J9 Centro, Londrina - PR",casaacabamentos.com.br,(43) 3324-5133,(52),Casa Acabamentos,"4,5",,
,"R. Maurício Coelho Lima - Santa Rita 3, Londrina - PR, 86072-320","PR82+HR Santa Rita 3, Londrina - PR",(43) 3338-6504,Adicionar website,(51),Depósito Leonor,"4,5",,
,"R. Mitomu Simamura, 406 - Parque das Industrias, Londrina - PR, 86043-030","JVJ8+X7 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3373-7100,Reivindicar esta empresa,(5),Deposito Sanderson 1,"4,8",Adicionar website,
,"R. Mossoró, 483 - Centro, Londrina - PR, 86020-290","MRVJ+8M Centro, Londrina - PR",(43) 3337-7060,Adicionar website,(5),Tintas Sulplast,"4,6",,
,"Av. Salgado Filho, 400 - Jd Califórnia, Londrina - PR, 86040-000","MV95+P6 Califórnia, Londrina - PR",(43) 3325-7997,Adicionar website,(44),Depósito Califórnia - Materiais de Construção,"4,2",,
,"Av. Duque de Caxias, 1046 - Vila Brasil, Londrina - PR, 86020-330","MR9X+98 Europa, Londrina - PR",(43) 3342-0918,Adicionar website,(43),Depósito Eldorado,"4,8",,
,"Av. Waldemar Spranger, 1100 - Vale do Reno, Londrina - PR, 86047-285","MR4M+7X Vale do Reno, Londrina - PR",negocio.site,(43) 3343-3434,(42),Parceiros da Construção - Casa & Acabamentos,"4,6",,
,"Av. Theodoro Victorelli, 650L - Jardim Helena, Londrina - PR, 86027-750","MVP4+RH Fraternidade, Londrina - PR",leroymerlin.com.br,(43) 99153-3076,(408),Leroy Merlin Londrina,4,,
,"R. Guaporé, 739 - Jardim Palmares, Londrina - PR, 86025-000","MRXP+HR Jardim Palmares, Londrina - PR",(43) 3334-0557,Adicionar website,(40),Pisolon,4,,
,"R. Belém, 61 - Casoni, Londrina - PR, 86026-000","MRWX+46 Casoni, Londrina - PR",depositobrasilsul.com.br,(43) 3323-5942,(4),DEPÓSITO BRASIL SUL,4,Gerenciar esta ficha,
,"Av. Sylvio Barros, 75 - Pacaembu, Londrina - PR, 86078-020","PR9W+9J Pacaembu, Londrina - PR",(43) 3334-1533,Reivindicar esta empresa,(4),Depósito Lucas Materiais de Construção,"4,8",Adicionar horário,Adicionar website
,"Av. Luigi Amorese, 5555 - Cilo III, Londrina - PR, 86071-020","PR33+5W Cilo III, Londrina - PR",(43) 3327-4826,Adicionar website,(4),Depósito VERA CRUZ - Materiais de Construção,5,,
,"Rua Ermelindo Leão, 610 - Rica, Londrina - PR, 86025-150","PR4W+3H Rica, Londrina - PR",(43) 3329-0437,Adicionar website,(4),Madeireira Itaúba e Materiais para Construção,"3,3",,
,"Av. Winston Churchil, 1483 - Prq Ouro Verde, Londrina - PR, 86080-120","PRFG+2X Jardim dos Alpes, Londrina - PR",(43) 3338-0686,Reivindicar esta empresa,(4),Depósito Dois Irmãos Materiais para Construção,"3,5",Adicionar website,
,"Rua Ruy Virmond Carnascialli, 744 - Jd Leonor, Londrina - PR, 86071-260","PR53+WG Santa Rita I, Londrina - PR",(43) 3328-0194,Reivindicar esta empresa,(4),Depósito Locasa,"4,5",Adicionar website,
,"Av. Luigi Amorese, 7255w - Parque Industrial Cacique, Londrina - PR, 86071-020","PQ6R+87 Cilo III, Londrina - PR",(43) 3028-4422,Reivindicar esta empresa,(4),Porto de Areia Londrina,"4,8",Adicionar website,
,"Av. Arcebispo Dom Geraldo Fernandes, 2230 - Centro, Londrina - PR, 86026-730","MRXM+6C Centro, Londrina - PR",facebook.com,(43) 3347-0003,(4),Lotus Materiais para Borracharia,5,,
,"R. Belo Horizonte, 337 - Centro, Londrina - PR, 86020-060","MRVM+4C Centro, Londrina - PR",facebook.com,(43) 3025-4200,(4),Horizonte Tintas Londrina,3,,
,"R. Tremembés, 1121 - Ideal, Londrina - PR, 86027-250","PV25+3X Ideal, Londrina - PR",(43) 3325-1819,Adicionar website,(36),Depósito Tremembés,"4,6",,
,"R. Quintino Bocaiúva, 533 - Centro, Londrina - PR, 86020-150","MRVM+64 Centro, Londrina - PR",superamarelas.com,(43) 3028-0994,(36),Casa das Tintas,"4,5",Reivindicar esta empresa,
,"Av. do Café, 65 - Conj. Cafe, Londrina - PR, 86038-000","MVG7+85 Conj. Cafe, Londrina - PR",(43) 3325-7012,Reivindicar esta empresa,(35),Depósito Aeroporto Materiais para Construção,"4,5",Adicionar website,
,"Av. Café Rubiácea, 1705 - Prq Res do Café, Londrina - PR, 86081-280","PRP8+VH Conj. Parigot de Souza 3, Londrina - PR",(43) 3347-2192,Adicionar website,(35),Bispo's-Materiais de Construção,"4,7",,
,"Av. Café Rubiácea, 1736 - Res. do Café, Londrina - PR, 86081-280","PRQ8+2C Parigot De Souza, Londrina - PR",(43) 3338-7752,Adicionar website,(32),Eletro Tubos,"4,5",,
,"R. Fortaleza, 271 - Agari, Londrina - PR, 86020-240","MRXJ+89 Agari, Londrina - PR",depositosaomarcos.com.br,(43) 3376-1600,(316),Depósito São Marcos,"4,4",Reivindicar esta empresa,
,"Av. Guilherme de Almeida, 1011 - Ouro Branco, Londrina - PR, 86042-000","JVM4+VG Ouro Branco, Londrina - PR",cec.com.br,(43) 3026-1044,(3),Casa da Construção,"4,3",Reivindicar esta empresa,
,"Av. Dez de Dezembro, 6331 - Parque Res. Joao Piza, Londrina - PR, 86046-140","MV23+5Q Parque Res. Joao Piza, Londrina - PR",(43) 3341-1909,Reivindicar esta empresa,(3),Casa Shop Porcelanato,"4,7",Adicionar website,
